,0,1
156,一下,39
157,电话,39
158,什么,38
159,只能,38
160,每个,38
161,耳机,37
162,棒棒,37
163,导游小姐,37
164,白宫,37
165,位于,37
166,价格,37
167,贴心,36
168,周到,36
169,向往,36
170,订票,36
171,全面,36
172,不用,36
173,建筑群,36
174,合理,35
175,内容,35
176,有点,35
177,热心,35
178,的话,35
179,终于,35
180,其他,35
181,一直,34
182,今天,34
183,不是,34
184,服务周到,34
185,一般,33
186,来到,33
187,只有,33
188,知道,33
189,个人,33
190,精彩,33
191,30,32
192,漂亮,32
193,雪域,32
194,中心,32
195,美丽,32
196,心灵,32
197,风景,32
198,还有,32
199,玛布,32
200,心中,31
201,超赞,31
202,有趣,31
203,黄金,31
204,之一,31
205,问题,31
206,去过,31
207,西北,31
208,总体,30
209,希望,30
210,当地,30
211,非常感谢,30
212,部分,30
213,平台,30
214,现在,30
215,淡季,29
216,其实,29
217,还会,29
218,买票,29
219,一些,29
220,反应,29
221,雄伟壮观,29
222,十分,29
223,红宫,29
224,声音,28
225,好玩,28
226,值得一看,28
227,记得,28
228,不到,28
229,憨导,28
230,过程,27
231,虔诚,27
232,一点,27
233,晚上,27
234,第二天,27
235,宗教,27
236,宫堡式,27
237,迎娶,27
238,辛苦,26
239,外观,26
240,选择,26
241,景区,26
242,以后,26
243,生动,25
244,门口,25
245,成为,25
246,最后,25
247,第一次,25
248,文化遗产,25
249,由于,25
250,通知,25
251,开放,25
252,客服,25
253,50,25
254,出行,24
255,真是,24
256,幽默,24
257,杨导,24
258,人民,24
259,中国,24
260,20,24
261,拍摄,24
262,孩子,24
263,购票,24
264,神奇,23
265,人生,23
266,免费,23
267,世纪,23
268,取票,23
269,跟着,22
270,他们,22
271,完全,22
272,好看,22
273,强烈推荐,22
274,团队,22
275,珍宝馆,22
276,还要,22
277,已经,22
278,遗憾,22
279,温柔,22
280,五星,22
281,讲解员,22
282,13,22
283,李导,22
284,吐蕃,22
285,这座,21
286,风趣,21
287,内部,21
288,确实,21
289,王朝,21
290,药王山,21
291,冬天,21
292,实在,21
293,左右,21
294,最好,21
295,购买,21
296,开始,21
297,倒影,21
298,安检,21
299,风格,21
300,超棒,21
301,首府,21
302,不会,20
303,退款,20
304,故事,20
305,允许,20
306,机会,20
307,东西,20
308,朝拜,20
309,一起,20
310,历代,20
311,你们,20
312,顺利,20
313,赞普,20
314,兴建,20
315,只是,19
316,耳麦,19
317,遇到,19
318,现场,19
319,很赞,19
320,庄严,19
321,藏民,19
322,一种,19
323,象征,19
324,才能,19
325,集合,19
326,到达,19
327,结果,19
328,观景台,19
329,下午,19
330,告知,19
331,参导,19
332,失望,19
333,主体,19
334,老人,19
335,热情周到,19
336,用心,19
337,中国西藏自治区,19
338,公主,19
339,达赖喇嘛,19
340,或者,19
341,小姐姐,18
342,令人,18
343,实际,18
344,邵导,18
345,天空,18
346,文物,18
347,通过,18
348,屹立,18
349,仿佛,18
350,出来,18
351,夜景,18
352,重要,18
353,票价,18
354,之前,18
355,有人,18
356,注意,18
357,两个,18
358,可能,18
359,灵塔,18
360,不同,18
361,17,18
362,亲切,18
363,根本,18
364,收获,17
365,位置,17
366,这是,17
367,意义,17
368,无数,17
369,结束,17
370,哈哈哈,17
371,充满,17
372,预定,17
373,费用,17
374,来说,17
375,深刻,17
376,啊啊啊,17
377,人文,17
378,渊博,17
379,情况,17
380,旅行社,17
381,一路上,17
382,具有,17
383,限制,17
384,除了,17
385,每天,17
386,酒店,17
387,所有,16
388,布达拉,16
389,不好,16
390,提醒,16
391,准备,16
392,壮丽,16
393,整体,16
394,慢慢,16
395,作为,16
396,最近,16
397,不然,16
398,分钟,16
399,姐姐,16
400,注意事项,16
401,直接,16
402,多少,16
403,导演,16
404,台阶,16
405,一切,16
406,而建,16
407,完美,15
408,怎么,15
409,期待,15
410,明珠,15
411,公园,15
412,珍宝,15
413,一游,15
414,第二次,15
415,理解,15
416,缺氧,15
417,地点,15
418,一位,15
419,100,15
420,天堂,15
421,容易,15
422,然后,15
423,绝对,15
424,机位,15
425,相当,15
426,佛像,15
427,预订,15
428,美女,15
429,之后,15
430,重建,15
431,为了,15
432,这么,15
433,著名,15
434,居所,15
435,藏式,15
436,气势雄伟,15
437,适合,15
438,最初,15
439,要求,14
440,消费,14
441,起来,14
442,世界屋脊,14
443,学到,14
444,政治,14
445,环境,14
446,城堡,14
447,更是,14
448,老师,14
449,特色,14
450,更好,14
451,白天,14
452,号线,14
453,建于,14
454,对于,14
455,帮忙,14
456,一张,14
457,礼物,14
458,人民币,14
459,路线,14
460,路上,14
461,听到,14
462,同时,14
463,本人,14
464,以及,14
465,有意思,14
466,这样,14
467,再次,14
468,好多,14
469,水平,14
470,尺尊,14
471,冬宫,14
472,一趟,14
473,优惠,14
474,兰兰,14
475,同程网,14
476,雪山,13
477,冬季,13
478,带领,13
479,真正,13
480,夜晚,13
481,外面,13
482,可惜,13
483,拉姆,13
484,寺院,13
485,更加,13
486,线路,13
487,超高,13
488,休息,13
489,身份证,13
490,看不懂,13
491,深入,13
492,早上,13
493,公元,13
494,赞赞,13
495,客人,13
496,艺术,13
497,人多,13
498,一体,13
499,主要,13
500,政教合一,13
501,有些,13
502,之旅,13
503,佛教,13
504,金碧辉煌,13
505,独特,13
506,12,13
507,后悔,13
508,何导,12
509,也好,12
510,身体,12
511,圣殿,12
512,以为,12
513,城市,12
514,力量,12
515,老胡,12
516,节奏,12
517,短信,12
518,每人,12
519,祖蓝,12
520,11,12
521,应该,12
522,只要,12
523,能够,12
524,下来,12
525,工作,12
526,辉煌,12
527,当然,12
528,照片,12
529,整座,12
530,余米,12
531,人数,12
532,旅程,12
533,迷人,12
534,工作人员,12
535,全部,12
536,包括,11
537,宫内,11
538,观看,11
539,满满,11
540,接受,11
541,至少,11
542,太阳,11
543,当天,11
544,不少,11
545,人太多,11
546,信息,11
547,后面,11
548,不仅,11
549,大概,11
550,标志性,11
551,不管,11
552,无法,11
553,最美,11
554,此次,11
555,任何,11
556,细节,11
557,打电话,11
558,赞赞赞,11
559,快乐,11
560,宫里,11
561,蓝天白云,11
562,融为一体,11
563,这种,11
564,人美,11
565,蒋导,11
566,基本,11
567,得到,11
568,享受,11
569,地标,11
570,统治,11
571,全国,11
572,重点,11
573,列为,11
574,石壁,11
575,很漂亮,11
576,nice,11
577,这些,11
578,15,11
579,后来,11
580,看见,11
581,景色宜人,11
582,本来,11
583,三个,10
584,几个,10
585,生动有趣,10
586,半天,10
587,旁边,10
588,走马观花,10
589,深厚,10
590,合适,10
591,修建,10
592,奈斯,10
593,太美,10
594,多次,10
595,最佳,10
596,一圈,10
597,不缺,10
598,微信,10
599,人们,10
600,优美,10
601,火车,10
602,效果,10
603,官网,10
604,几乎,10
605,14,10
606,手机,10
607,发现,10
608,一边,10
609,便宜,10
610,解决,10
611,并且,10
612,那里,10
613,必要,10
614,智慧,10
615,扎西德勒,10
616,一日游,10
617,加上,10
618,过来,10
619,价值,10
620,完整,10
621,还好,10
622,带队,10
623,速度,10
624,团友,10
625,有着,10
626,认识,10
627,受益匪浅,10
628,欣赏,10
629,生活,10
630,礼品,10
631,可是,10
632,文物保护,10
633,单位,10
634,1994,10
635,山腰,10
636,大面积,10
637,山岗,10
638,太高,10
639,此生,10
640,房间,10
641,阳光,10
642,寺庙,10
643,不如,10
644,不让,10
645,当时,10
646,魅力,10
647,门票价格,10
648,喇嘛,9
649,别的,9
650,好像,9
651,差评,9
652,普通话,9
653,遇见,9
654,果然,9
655,超好,9
656,张导,9
657,洗涤,9
658,语言,9
659,感动,9
660,原因,9
661,美景,9
662,自驾,9
663,附近,9
664,体会,9
665,最大,9
666,解答,9
667,民族,9
668,考虑,9
669,相信,9
670,很大,9
671,美好,9
672,否则,9
673,更深,9
674,上午,9
675,圣洁,9
676,方式,9
677,沟通,9
678,回答,9
679,充分,9
680,继续,9
681,如此,9
682,那种,9
683,其中,9
684,背面,9
685,把握,9
686,难忘,9
687,永远,9
688,哈哈,9
689,仰望,9
690,小李,9
691,拥有,9
692,想象,9
693,无比,9
694,不够,9
695,3700,9
696,挺不错,9
697,导致,9
698,两次,9
699,石导,9
700,...,9
701,展开,9
702,退票,9
703,王丹,9
704,带票,9
705,不行,8
706,心情,8
707,蓝天,8
708,宫墙,8
709,团员,8
710,小哥,8
711,及时,8
712,真不错,8
713,有个,8
714,味道,8
715,角度,8
716,订单,8
717,通俗易懂,8
718,内心,8
719,灯光,8
720,迟到,8
721,观赏,8
722,景观,8
723,很少,8
724,为什么,8
725,比如,8
726,一周,8
727,以上,8
728,友好,8
729,青藏高原,8
730,肯定,8
731,严重,8
732,办法,8
733,收藏,8
734,过去,8
735,做好,8
736,幸运,8
737,飞机,8
738,加油,8
739,美的,8
740,尤其,8
741,各种,8
742,佛教文化,8
743,游人,8
744,旦增,8
745,古代,8
746,知识面,8
747,集合时间,8
748,自然,8
749,巍峨,8
750,严格,8
751,信徒,8
752,透彻,8
753,离开,8
754,经过,8
755,样子,8
756,舒服,8
757,麻烦,8
758,感恩,8
759,之地,8
760,明白,8
761,講解,8
762,领队,8
763,进行,8
764,保护,8
765,许多,8
766,必到,8
767,告诉,8
768,一说,8
769,很难,8
770,一场,8
771,依山,8
772,对面,8
773,和蔼,8
774,厉害,8
775,建造,8
776,省心,8
777,实惠,8
778,不了,8
779,疫情,8
780,人员,8
781,进藏,8
782,购物,8
783,赵导,8
784,跟不上,8
785,入园,8
786,每次,7
787,如同,7
788,套餐,7
789,王林,7
790,向导,7
791,属于,7
792,去一趟,7
793,前面,7
794,太好了,7
795,经历,7
796,详尽,7
797,交通,7
798,人群,7
799,精神,7
800,格外,7
801,关于,7
802,储备,7
803,伟大,7
804,之类,7
805,此行,7
806,其它,7
807,据说,7
808,时间段,7
809,一步,7
810,传说,7
811,区域,7
812,楼梯,7
813,小朋友,7
814,可爱,7
815,首先,7
816,接待,7
817,朝圣者,7
818,街头,7
819,仓央嘉,7
820,错过,7
821,日光,7
822,不去,7
823,保证,7
824,处理,7
825,不可,7
826,祖国,7
827,胡导,7
828,前来,7
829,殿堂,7
830,悠久,7
831,舒适,7
832,面前,7
833,提问,7
834,相关,7
835,陪同,7
836,重新,7
837,前往,7
838,始建,7
839,色彩,7
840,一共,7
841,总要,7
842,博物馆,7
843,一来,7
844,圆满,7
845,灵魂,7
846,队员,7
847,迁都,7
848,第一批,7
849,多米,7
850,克服,7
851,周围,7
852,服务到位,7
853,藏族同胞,7
854,体力,7
855,布宮,7
856,方面,7
857,倾城,7
858,具体,7
859,跟团,7
860,金顶,7
861,谢导,7
862,導遊,7
863,亲自,7
864,有生之年,7
865,认可,7
866,没什么,7
867,不太,7
868,自由,7
869,00,7
870,总是,7
871,买不到,7
872,居然,7
873,还行,7
874,红山,7
875,我国,7
876,听说,7
877,放心,7
878,素质,7
879,提供,7
880,顿珠,7
881,蓝牙,7
882,藏语,6
883,感到,6
884,影响,6
885,找到,6
886,坑人,6
887,惊喜,6
888,简直,6
889,善良,6
890,看一看,6
891,真心,6
892,天气,6
893,随手,6
894,随着,6
895,免票,6
896,显得,6
897,太棒了,6
898,大方,6
899,第一,6
900,太快,6
901,俯瞰,6
902,学习,6
903,人少,6
904,程序,6
905,孙导,6
906,多年,6
907,重庆,6
908,周边,6
909,奇迹,6
910,指定,6
911,无论,6
912,相对,6
913,有限,6
914,出发,6
915,所有人,6
916,自行,6
917,留下,6
918,投诉,6
919,一人,6
920,强烈,6
921,包含,6
922,单独,6
923,惊叹,6
924,宋导,6
925,经典,6
926,天桥,6
927,傍晚,6
928,是因为,6
929,集合地点,6
930,背后,6
931,金刚,6
932,小王,6
933,吸引,6
934,就算,6
935,目前,6
936,人类,6
937,上山,6
938,国庆,6
939,王晓强,6
940,标准,6
941,一票,6
942,难求,6
943,等到,6
944,别人,6
945,不停,6
946,一处,6
947,曾经,6
948,高大,6
949,时期,6
950,壁画,6
951,场景,6
952,坐在,6
953,唯一,6
954,还来,6
955,一行,6
956,事情,6
957,领略,6
958,就要,6
959,人家,6
960,一句,6
961,半小时,6
962,藏品,6
963,上订,6
964,心善,6
965,帮助,6
966,十年,6
967,王宫,6
968,峭壁,6
969,敬仰,6
970,太贵,6
971,报团,6
972,听得,6
973,参加,6
974,厚重,6
975,雪城,6
976,墨镜,6
977,观景,6
978,季节,6
979,净化,6
980,瑰宝,6
981,支付,6
982,宗教信仰,6
983,有幸,6
984,超过,6
985,组成,6
986,照相,6
987,中午,6
988,显示,6
989,另外,6
990,说明,6
991,土地,6
992,见到,6
993,小伙伴,6
994,那些,6
995,约定,6
996,趣味性,6
997,洗礼,6
998,藏传,6
999,空气,6
1000,27,6
1001,划算,6
1002,保存,6
1003,宫堡,6
1004,80,6
1005,控制,6
1006,检查,6
1007,西藏自治区,6
1008,举世闻名,6
1009,胜地,6
1010,坐落于,6
1011,代表,6
1012,朝圣,6
1013,必游,6
1014,申请,6
1015,公众,6
1016,公司,6
1017,接触,6
1018,充足,6
1019,登上,6
1020,一颗,6
1021,空间站,6
1022,客户,6
1023,外围,6
1024,听不见,6
1025,洛桑,6
1026,赶鸭子,6
1027,无线耳机,6
1028,订购,6
1029,同团,6
1030,离队,6
1031,骂人,6
1032,兑换,6
1033,意见,6
1034,评价,5
1035,之行,5
1036,表扬,5
1037,和善,5
1038,视觉,5
1039,白色,5
1040,同行,5
1041,换票,5
1042,不负责任,5
1043,称为,5
1044,新鲜,5
1045,外部,5
1046,静静地,5
1047,心态,5
1048,身临其境,5
1049,宝藏,5
1050,公里,5
1051,沿途,5
1052,没想到,5
1053,停留,5
1054,必来,5
1055,来布宫,5
1056,娓娓道来,5
1057,无论是,5
1058,第一天,5
1059,有时,5
1060,高价,5
1061,确认,5
1062,当中,5
1063,帅哥,5
1064,宝石,5
1065,不值钱,5
1066,那个,5
1067,系统,5
1068,气势,5
1069,上面,5
1070,友善,5
1071,增加,5
1072,师傅,5
1073,半个,5
1074,圣城,5
1075,存在,5
1076,大声,5
1077,完后,5
1078,毕竟,5
1079,世间,5
1080,好久,5
1081,白来,5
1082,咖啡屋,5
1083,到底,5
1084,如何,5
1085,担心,5
1086,回忆,5
1087,发展,5
1088,使用,5
1089,轻松,5
1090,一家,5
1091,想要,5
1092,碰到,5
1093,几年,5
1094,如愿,5
1095,通道,5
1096,风情,5
1097,感受一下,5
1098,关注,5
1099,带来,5
1100,两天,5
1101,奇珍异宝,5
1102,意思,5
1103,本次,5
1104,期间,5
1105,带上,5
1106,认为,5
1107,以前,5
1108,红色,5
1109,达赖,5
1110,打造,5
1111,路过,5
1112,纪念品,5
1113,脚下,5
1114,性格,5
1115,小孩,5
1116,方便快捷,5
1117,团里,5
1118,运气,5
1119,竟然,5
1120,说话,5
1121,建筑风格,5
1122,研究,5
1123,温和,5
1124,牛奶,5
1125,安静,5
1126,总算,5
1127,说走就走,5
1128,尽责,5
1129,有问必答,5
1130,装饰,5
1131,珠宝,5
1132,旅游景点,5
1133,场所,5
1134,1300,5
1135,1961,5
1136,中华人民共和国国务院,5
1137,老年人,5
1138,熟悉,5
1139,和蔼可亲,5
1140,体现,5
1141,家人,5
1142,地上,5
1143,关心,5
1144,支持,5
1145,信赖,5
1146,印象,5
1147,难得,5
1148,拼团,5
1149,下面,5
1150,语音,5
1151,人间,5
1152,禁止,5
1153,多么,5
1154,珍贵,5
1155,真身,5
1156,一道,5
1157,120,5
1158,总之,5
1159,一份,5
1160,千万,5
1161,等等,5
1162,之中,5
1163,一片,5
1164,梦想,5
1165,随和,5
1166,安心,5
1167,真诚,5
1168,好听,5
1169,市区,5
1170,古建筑,5
1171,回来,5
1172,眼睛,5
1173,之巅,5
1174,旅游团,5
1175,回到,5
1176,受到,5
1177,林芝,5
1178,餐厅,5
1179,收费,5
1180,东门,5
1181,人工湖,5
1182,难受,5
1183,网络,5
1184,金色,5
1185,进门,5
1186,手续费,5
1187,正式,5
1188,然而,5
1189,专门,5
1190,估计,5
1191,随便,5
1192,首选,5
1193,变成,5
1194,空气质量,5
1195,套票,5
1196,40,5
1197,加价,5
1198,黄牛,5
1199,省去,5
1200,演出,5
1201,85,5
1202,无关紧要,5
1203,提前结束,5
1204,张票,5
1205,周导,5
1206,节假日,5
1207,一般般,5
1208,太紧,5
1209,上劲,5
1210,详情,5
1211,酷酷,5
1212,文化底蕴,4
1213,爬布宫,4
1214,年轻,4
1215,膜拜,4
1216,强制,4
1217,不租,4
1218,故意,4
1219,极差,4
1220,唐敏,4
1221,映衬,4
1222,山顶,4
1223,千年,4
1224,额外,4
1225,太短,4
1226,等待,4
1227,扎西,4
1228,中华民族,4
1229,架不住,4
1230,连连,4
1231,全景,4
1232,绝对值,4
1233,一下子,4
1234,真实,4
1235,挺棒,4
1236,五个,4
1237,高兴,4
1238,爬起来,4
1239,特殊,4
1240,意犹未尽,4
1241,殿宇,4
1242,难以,4
1243,气息,4
1244,待人,4
1245,那一刻,4
1246,光芒,4
1247,提前准备,4
1248,衣服,4
1249,放弃,4
1250,价位,4
1251,背景,4
1252,本身,4
1253,经验,4
1254,风光,4
1255,璀璨,4
1256,请个,4
1257,纯粹,4
1258,经文,4
1259,国家,4
1260,易懂,4
1261,兴趣,4
1262,结合,4
1263,文化背景,4
1264,四个,4
1265,没去,4
1266,进来,4
1267,紧张,4
1268,完布宫,4
1269,谭导,4
1270,疑问,4
1271,十天,4
1272,达拉,4
1273,主动,4
1274,接到,4
1275,电子,4
1276,身体状况,4
1277,住进,4
1278,流浪,4
1279,人来,4
1280,1000,4
1281,分享,4
1282,天台,4
1283,车流,4
1284,几天,4
1285,心心念念,4
1286,逛逛,4
1287,成功,4
1288,多多,4
1289,邓导,4
1290,哥哥,4
1291,大哥,4
1292,小团,4
1293,避免,4
1294,拒绝,4
1295,奢华,4
1296,38,4
1297,母亲,4
1298,万岁,4
1299,极高,4
1300,正常,4
1301,对布宫,4
1302,不太好,4
1303,规格,4
1304,故宫,4
1305,饮料,4
1306,监狱,4
1307,视频,4
1308,露天,4
1309,逗留,4
1310,宗角禄康,4
1311,惊艳,4
1312,产品,4
1313,滔滔不绝,4
1314,完成,4
1315,不远万里,4
1316,分别,4
1317,异域,4
1318,不断,4
1319,给力,4
1320,组织,4
1321,妥当,4
1322,形容,4
1323,淳朴,4
1324,修行,4
1325,之上,4
1326,小胡,4
1327,规划,4
1328,著名景点,4
1329,里边,4
1330,快捷,4
1331,戴帽子,4
1332,庄重,4
1333,走进,4
1334,唐卡,4
1335,早点,4
1336,见证,4
1337,随身带,4
1338,热门,4
1339,浏览,4
1340,陈慧,4
1341,业务,4
1342,疯狂,4
1343,而已,4
1344,远处,4
1345,两年,4
1346,功课,4
1347,行走,4
1348,全体,4
1349,简单,4
1350,随时,4
1351,大气,4
1352,帅气,4
1353,688,4
1354,挑战,4
1355,要是,4
1356,礼貌,4
1357,普陀,4
1358,菩萨,4
1359,宏大,4
1360,稍微,4
1361,美美,4
1362,庄严肃穆,4
1363,暑假,4
1364,各位,4
1365,充实,4
1366,小心,4
1367,责任心,4
1368,人挤,4
1369,五世,4
1370,气喘吁吁,4
1371,方向,4
1372,天下,4
1373,喷泉,4
1374,限流,4
1375,2020,4
1376,不再,4
1377,不留,4
1378,而是,4
1379,一辈子,4
1380,最为,4
1381,愿意,4
1382,敬意,4
1383,长时间,4
1384,流连忘返,4
1385,藏族人,4
1386,对外开放,4
1387,忘记,4
1388,零钱,4
1389,居住,4
1390,乃至,4
1391,天上,4
1392,因為,4
1393,尽职尽责,4
1394,时光,4
1395,详实,4
1396,亲和力,4
1397,玩得,4
1398,人不多,4
1399,良好,4
1400,自治区,4
1401,削壁,4
1402,距今已有,4
1403,深信,4
1404,这辈子,4
1405,人心,4
1406,净土,4
1407,敬畏,4
1408,努力,4
1409,纯净,4
1410,理由,4
1411,半价,4
1412,高度,4
1413,姑娘,4
1414,夜色,4
1415,建筑物,4
1416,管理,4
1417,气势磅礴,4
1418,白云,4
1419,精美,4
1420,总的来说,4
1421,一眼,4
1422,前去,4
1423,边上,4
1424,南山,4
1425,初次,4
1426,浓郁,4
1427,走路,4
1428,2019,4
1429,图片,4
1430,根据,4
1431,没人,4
1432,是从,4
1433,分为,4
1434,佛教徒,4
1435,广大,4
1436,没到,4
1437,刘导,4
1438,四川,4
1439,珍藏,4
1440,条件,4
1441,观音,4
1442,庞大,4
1443,历史文物,4
1444,坐落,4
1445,激动,4
1446,已久,4
1447,干净,4
1448,心目,4
1449,有种,4
1450,大部分,4
1451,黄牛票,4
1452,一早,4
1453,八廓街,4
1454,父亲,4
1455,租借,4
1456,所在,4
1457,看过,4
1458,商家,4
1459,余导,4
1460,块钱,4
1461,差不多,4
1462,冬游,4
1463,罗布,4
1464,藏区,4
1465,听得见,4
1466,白塔,4
1467,太漂亮,4
1468,过分,4
1469,不带,4
1470,小雨,4
1471,花钱,4
1472,联票,4
1473,60,4
1474,負責,4
1475,問題,4
1476,准时,4
1477,半价票,4
1478,我订,4
1479,敷衍了事,4
1480,骗人,4
1481,太赶,4
1482,网站,4
1483,如能,4
1484,配发,4
1485,明星,4
1486,不算,3
1487,名字,3
1488,那天,3
1489,非常热心,3
1490,团游,3
1491,自愿,3
1492,矗立,3
1493,太多,3
1494,欺骗,3
1495,巨大,3
1496,巧妙,3
1497,神殿,3
1498,油灯,3
1499,气氛,3
1500,一幅,3
1501,初到,3
1502,游布宫,3
1503,攻略,3
1504,这一,3
1505,带有,3
1506,收取,3
1507,普布,3
1508,好棒,3
1509,郝导,3
1510,唐朝,3
1511,清朝,3
1512,能不来,3
1513,解放,3
1514,纪念,3
1515,正面,3
1516,ok,3
1517,细细的,3
1518,小小的,3
1519,西南,3
1520,大片,3
1521,数不尽,3
1522,祈祷,3
1523,信仰者,3
1524,实际上,3
1525,气场,3
1526,能量,3
1527,满满的,3
1528,缘分,3
1529,寻找,3
1530,一流,3
1531,跟随,3
1532,优良,3
1533,不仅仅,3
1534,专业性,3
1535,光线,3
1536,一番,3
1537,大姐,3
1538,不低,3
1539,技术,3
1540,缓解,3
1541,景象,3
1542,叹为观止,3
1543,五十元,3
1544,天然,3
1545,颜色,3
1546,感叹,3
1547,用于,3
1548,温馨,3
1549,农奴,3
1550,赠送,3
1551,温暖,3
1552,等候,3
1553,因此,3
1554,出票,3
1555,进宫,3
1556,富丽堂皇,3
1557,解说员,3
1558,酥油,3
1559,出色,3
1560,每到,3
1561,不得,3
1562,进不去,3
1563,缺点,3
1564,离谱,3
1565,阶梯,3
1566,梦寐以求,3
1567,上下,3
1568,尽职,3
1569,事项,3
1570,19,3
1571,忍不住,3
1572,听见,3
1573,无损,3
1574,抢票,3
1575,浪费,3
1576,人超,3
1577,也许,3
1578,记住,3
1579,一段,3
1580,融合,3
1581,情郎,3
1582,措的,3
1583,星月,3
1584,菩提,3
1585,时代,3
1586,潮流,3
1587,三脚架,3
1588,焦段,3
1589,北京,3
1590,商场,3
1591,提早,3
1592,取景,3
1593,经常,3
1594,对比,3
1595,晚点,3
1596,随身携带,3
1597,香格里拉酒店,3
1598,心里,3
1599,作用,3
1600,物品,3
1601,想法,3
1602,改期,3
1603,这位,3
1604,真是太,3
1605,开业,3
1606,关闭,3
1607,太难,3
1608,增添,3
1609,流泪,3
1610,点个,3
1611,第二道,3
1612,有所,3
1613,普通,3
1614,一看,3
1615,要不然,3
1616,语气,3
1617,威严,3
1618,一声,3
1619,切记,3
1620,成员,3
1621,感慨,3
1622,操作,3
1623,于是,3
1624,没法,3
1625,王丽,3
1626,陈导点,3
1627,心旷神怡,3
1628,今年,3
1629,折服,3
1630,越来越,3
1631,幸福,3
1632,和谐,3
1633,领悟,3
1634,听听,3
1635,那样,3
1636,公交,3
1637,开车,3
1638,停车,3
1639,打火机,3
1640,展示,3
1641,古迹,3
1642,一面,3
1643,无字碑,3
1644,世达赖,3
1645,功绩,3
1646,爬楼梯,3
1647,再用,3
1648,慢点,3
1649,门洞,3
1650,面积,3
1651,价值连城,3
1652,全球,3
1653,精华,3
1654,引起,3
1655,接近,3
1656,记忆,3
1657,一条,3
1658,人文景观,3
1659,优质,3
1660,18,3
1661,差点,3
1662,传奇,3
1663,金牌,3
1664,耽误,3
1665,之下,3
1666,恢宏,3
1667,经验丰富,3
1668,语言表达,3
1669,民风,3
1670,民俗,3
1671,独一无二,3
1672,细致入微,3
1673,宁静,3
1674,苍穹,3
1675,星空,3
1676,本地,3
1677,认真细致,3
1678,祈福,3
1679,建筑设计,3
1680,比较满意,3
1681,反复,3
1682,省事,3
1683,洁白,3
1684,浓重,3
1685,有条不紊,3
1686,氧气瓶,3
1687,十一,3
1688,限时,3
1689,清晨,3
1690,硬生生,3
1691,看着,3
1692,眼前,3
1693,3000,3
1694,爬上去,3
1695,兼职,3
1696,壮美,3
1697,无限,3
1698,燕子,3
1699,一带,3
1700,远远,3
1701,难度,3
1702,夏天,3
1703,路程,3
1704,有关,3
1705,内涵,3
1706,很帅,3
1707,确定,3
1708,大人,3
1709,历史感,3
1710,规范,3
1711,开门,3
1712,清新,3
1713,放松,3
1714,小草,3
1715,首次,3
1716,明明白白,3
1717,及其,3
1718,说法,3
1719,转经筒,3
1720,有加,3
1721,我来,3
1722,只不过,3
1723,一切都是,3
1724,敷衍,3
1725,中间,3
1726,灵活,3
1727,小杜,3
1728,守时,3
1729,度过,3
1730,票太难,3
1731,规定,3
1732,黄色,3
1733,紧凑,3
1734,再也,3
1735,太棒,3
1736,引导,3
1737,有序,3
